product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Optics Options","Voltage Options","Color Temperature (CCT)","Lens Options","Finish Options","Pendant Mounting Kit","Wattage Options","Wattage & Lumen Options","Mounting Options","Control Options"
2711,DG-AFS30Q,DG-AFS30QD1X37-H-4K-LB,1021.45,1021.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-4K-LB,1021.45,1021.45,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CZ,948.6,948.6,,,,0,"37 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CZ,948.6,948.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CZ,948.6,948.6,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CZ,948.6,948.6,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CZ,948.6,948.6,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CB,948.6,948.6,,,,0,"37 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CB,948.6,948.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CB,948.6,948.6,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CB,948.6,948.6,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-CB,948.6,948.6,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LZ,1021.45,1021.45,,,,0,"37 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LZ,1021.45,1021.45,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LZ,1021.45,1021.45,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LZ,1021.45,1021.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LZ,1021.45,1021.45,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LB,1021.45,1021.45,,,,0,"37 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LB,1021.45,1021.45,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LB,1021.45,1021.45,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LB,1021.45,1021.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X37-H-5K-LB,1021.45,1021.45,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CZ,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CZ,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CZ,1032.85,1032.85,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CZ,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CZ,1032.85,1032.85,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CB,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CB,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CB,1032.85,1032.85,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CB,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-CB,1032.85,1032.85,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LZ,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LZ,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LZ,1105.75,1105.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LB,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LB,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LB,1105.75,1105.75,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-3K-LB,1105.75,1105.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CZ,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CZ,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CZ,1032.85,1032.85,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CB,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CB,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CB,1032.85,1032.85,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CB,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-CB,1032.85,1032.85,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LZ,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LZ,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LZ,1105.75,1105.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LB,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LB,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LB,1105.75,1105.75,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-4K-LB,1105.75,1105.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CZ,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CZ,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CZ,1032.85,1032.85,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CB,1032.85,1032.85,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CB,1032.85,1032.85,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CB,1032.85,1032.85,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CB,1032.85,1032.85,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-CB,1032.85,1032.85,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LZ,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LZ,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LZ,1105.75,1105.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LB,1105.75,1105.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LB,1105.75,1105.75,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LB,1105.75,1105.75,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-U-5K-LB,1105.75,1105.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CZ,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CZ,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CB,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CB,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CB,1165.75,1165.75,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CB,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-CB,1165.75,1165.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LZ,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LZ,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LB,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LB,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LB,1238.6,1238.6,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LB,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-3K-LB,1238.6,1238.6,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CZ,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CZ,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CZ,1165.75,1165.75,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CZ,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CZ,1165.75,1165.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CB,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CB,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CB,1165.75,1165.75,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CB,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-CB,1165.75,1165.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LZ,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LZ,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LZ,1238.6,1238.6,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LZ,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LZ,1238.6,1238.6,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LB,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LB,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LB,1238.6,1238.6,,,,0,,,4000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LB,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-4K-LB,1238.6,1238.6,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CZ,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CZ,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CZ,1165.75,1165.75,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CZ,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CZ,1165.75,1165.75,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CB,1165.75,1165.75,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CB,1165.75,1165.75,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CB,1165.75,1165.75,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CB,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-CB,1165.75,1165.75,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LZ,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LZ,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LZ,1238.6,1238.6,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LZ,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LZ,1238.6,1238.6,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LB,1238.6,1238.6,,,,0,"65 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LB,1238.6,1238.6,,,,0,,347-480v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LB,1238.6,1238.6,,,,0,,,5000K,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LB,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X65-H-5K-LB,1238.6,1238.6,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CZ,1071.45,1071.45,,,,0,"100 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CZ,1071.45,1071.45,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CZ,1071.45,1071.45,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CZ,1071.45,1071.45,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CZ,1071.45,1071.45,,,,0,,,,,Bronze,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CB,1071.45,1071.45,,,,0,"100 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CB,1071.45,1071.45,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CB,1071.45,1071.45,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CB,1071.45,1071.45,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-CB,1071.45,1071.45,,,,0,,,,,Black,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-LZ,1144.3,1144.3,,,,0,"100 Watts / Type IV",,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-LZ,1144.3,1144.3,,,,0,,120-277v,,,,,,,,
2711,DG-AFS30Q,DG-AFS30QD1X100-U-3K-LZ,1144.3,1144.3,,,,0,,,"3000K (37w, 65w Only)",,,,,,,
